Release Date,Time,Actual,Previous,Change
11-Dec-19,15:00,,,
30-Oct-19,14:00,,,
18-Sep-19,14:00,2.00%,2.25%,-0.25%
31-Jul-19,14:00,2.25%,2.50%,-0.25%
19-Jun-19,14:00,2.50%,2.50%,0.00%
1-May-19,14:00,2.50%,2.50%,0.00%
20-Mar-19,14:00,2.50%,2.50%,0.00%
30-Jan-19,15:00,2.50%,2.50%,0.00%
19-Dec-18,15:00,2.50%,2.25%,0.25%
8-Nov-18,15:00,2.25%,2.25%,0.00%
26-Sep-18,14:00,2.25%,2.00%,0.25%
1-Aug-18,14:00,2.00%,2.00%,0.00%
13-Jun-18,14:00,2.00%,1.75%,0.25%
2-May-18,14:00,1.75%,1.75%,0.00%
21-Mar-18,14:00,1.75%,1.50%,0.25%
31-Jan-18,15:00,1.50%,1.50%,0.00%
13-Dec-17,15:00,1.50%,1.25%,0.25%
1-Nov-17,14:00,1.25%,1.25%,0.00%
20-Sep-17,14:00,1.25%,1.25%,0.00%
26-Jul-17,14:00,1.25%,1.25%,0.00%
14-Jun-17,14:00,1.25%,1.00%,0.25%
3-May-17,14:00,1.00%,1.00%,0.00%
15-Mar-17,14:00,1.00%,0.75%,0.25%
1-Feb-17,15:00,0.75%,0.75%,0.00%
14-Dec-16,15:00,0.75%,0.50%,0.25%
2-Nov-16,14:00,0.50%,0.50%,0.00%
21-Sep-16,14:00,0.50%,0.50%,0.00%
27-Jul-16,14:00,0.50%,0.50%,0.00%
15-Jun-16,14:00,0.50%,0.50%,0.00%
27-Apr-16,14:00,0.50%,0.50%,0.00%
16-Mar-16,14:00,0.50%,0.50%,0.00%
27-Jan-16,15:00,0.50%,0.50%,0.00%
16-Dec-15,15:00,0.50%,0.25%,0.25%
28-Oct-15,14:00,0.25%,0.25%,0.00%
17-Sep-15,14:00,0.25%,0.25%,0.00%
29-Jul-15,14:00,0.25%,0.25%,0.00%
17-Jun-15,14:00,0.25%,0.25%,0.00%
29-Apr-15,14:00,0.25%,0.25%,0.00%
18-Mar-15,14:00,0.25%,0.25%,0.00%
28-Jan-15,15:00,0.25%,0.25%,0.00%
17-Dec-14,15:00,0.25%,0.25%,0.00%
29-Oct-14,14:00,0.25%,0.25%,0.00%
17-Sep-14,14:00,0.25%,0.25%,0.00%
30-Jul-14,14:00,0.25%,0.25%,0.00%
18-Jun-14,14:00,0.25%,0.25%,0.00%
30-Apr-14,14:00,0.25%,0.25%,0.00%
19-Mar-14,14:00,0.25%,0.25%,0.00%
29-Jan-14,15:00,0.25%,0.25%,0.00%
18-Dec-13,15:00,0.25%,0.25%,0.00%
30-Oct-13,14:00,0.25%,0.25%,0.00%
18-Sep-13,14:00,0.25%,0.25%,0.00%
31-Jul-13,14:00,0.25%,0.25%,0.00%
19-Jun-13,14:00,0.25%,0.25%,0.00%
1-May-13,14:00,0.25%,0.25%,0.00%
20-Mar-13,14:00,0.25%,0.25%,0.00%
30-Jan-13,15:15,0.25%,0.25%,0.00%
12-Dec-12,13:30,0.25%,0.25%,0.00%
24-Oct-12,14:15,0.25%,0.25%,0.00%
13-Sep-12,12:30,0.25%,0.25%,0.00%
1-Aug-12,14:15,0.25%,0.25%,0.00%
20-Jun-12,12:30,0.25%,0.25%,0.00%
25-Apr-12,12:30,0.25%,0.25%,0.00%
13-Mar-12,14:15,0.25%,0.25%,0.00%
25-Jan-12,13:30,0.25%,0.25%,0.00%
13-Dec-11,15:15,0.25%,0.25%,0.00%
2-Nov-11,12:30,0.25%,0.25%,0.00%
21-Sep-11,14:15,0.25%,0.25%,0.00%
9-Aug-11,14:15,0.25%,0.25%,0.00%
22-Jun-11,12:30,0.25%,0.25%,0.00%
27-Apr-11,12:30,0.25%,0.25%,0.00%
15-Mar-11,14:15,0.25%,0.25%,0.00%
26-Jan-11,15:15,0.25%,0.25%,0.00%
14-Dec-10,15:15,0.25%,0.25%,0.00%
3-Nov-10,14:15,0.25%,0.25%,0.00%
21-Sep-10,14:15,0.25%,0.25%,0.00%
10-Aug-10,14:15,0.25%,0.25%,0.00%
23-Jun-10,14:15,0.25%,0.25%,0.00%
28-Apr-10,14:15,0.25%,0.25%,0.00%
16-Mar-10,14:15,0.25%,0.25%,0.00%
27-Jan-10,15:15,0.25%,0.25%,0.00%
16-Dec-09,15:15,0.25%,0.25%,0.00%
4-Nov-09,15:15,0.25%,0.25%,0.00%
23-Sep-09,14:15,0.25%,0.25%,0.00%
12-Aug-09,14:15,0.25%,0.25%,0.00%
24-Jun-09,14:15,0.25%,0.25%,0.00%
29-Apr-09,14:15,0.25%,0.25%,0.00%
18-Mar-09,14:15,0.25%,0.25%,0.00%
28-Jan-09,15:15,0.25%,0.25%,0.00%
16-Dec-08,15:15,0.25%,1.00%,-0.75%
29-Oct-08,14:15,1.00%,1.50%,-0.50%
8-Oct-08,7:00,1.50%,2.00%,-0.50%
16-Sep-08,14:15,2.00%,2.00%,0.00%
5-Aug-08,14:15,2.00%,2.00%,0.00%
25-Jun-08,14:15,2.00%,2.00%,0.00%
30-Apr-08,14:15,2.00%,2.25%,-0.25%
18-Mar-08,14:15,2.25%,3.00%,-0.75%
30-Jan-08,14:15,3.00%,3.50%,-0.50%
22-Jan-08,14:15,3.50%,4.25%,-0.75%
11-Dec-07,14:00,4.25%,4.50%,-0.25%
31-Oct-07,14:00,4.50%,4.75%,-0.25%
18-Sep-07,14:00,4.75%,5.25%,-0.50%
29-Jun-06,14:00,5.25%,5.00%,0.25%
10-May-06,14:00,5.00%,4.75%,0.25%
28-Mar-06,14:00,4.75%,4.50%,0.25%
31-Jan-06,14:00,4.50%,4.25%,0.25%
13-Dec-05,14:00,4.25%,4.00%,0.25%
1-Nov-05,14:00,4.00%,3.75%,0.25%
20-Sep-05,14:00,3.75%,3.50%,0.25%
9-Aug-05,14:00,3.50%,3.25%,0.25%
30-Jun-05,14:00,3.25%,3.00%,0.25%
3-May-05,14:00,3.00%,2.75%,0.25%
22-Mar-05,14:00,2.75%,2.50%,0.25%
2-Feb-05,14:00,2.50%,2.25%,0.25%
14-Dec-04,14:00,2.25%,2.00%,0.25%
10-Nov-04,14:00,2.00%,1.75%,0.25%
21-Sep-04,14:00,1.75%,1.50%,0.25%
10-Aug-04,14:00,1.50%,1.25%,0.25%
30-Jun-04,14:00,1.25%,1.00%,0.25%
25-Jun-03,14:00,1.00%,1.25%,-0.25%
6-Nov-02,14:00,1.25%,1.75%,-0.50%
11-Dec-01,14:00,1.75%,2.00%,-0.25%
6-Nov-01,14:00,2.00%,2.50%,-0.50%
2-Oct-01,14:00,2.50%,3.00%,-0.50%
17-Sep-01,14:00,3.00%,3.50%,-0.50%
21-Aug-01,14:00,3.50%,3.75%,-0.25%
27-Jun-01,14:00,3.75%,4.00%,-0.25%
15-May-01,14:00,4.00%,4.50%,-0.50%
18-Apr-01,14:00,4.50%,5.00%,-0.50%
20-Mar-01,14:00,5.00%,5.50%,-0.50%
31-Jan-01,14:00,5.50%,6.00%,-0.50%
3-Jan-01,14:00,6.00%,6.50%,-0.50%
16-May-00,14:00,6.50%,6.00%,0.50%
21-Mar-00,14:00,6.00%,5.75%,0.25%
2-Feb-00,14:00,5.75%,5.50%,0.25%
16-Nov-99,14:00,5.50%,5.25%,0.25%
24-Aug-99,14:00,5.25%,5.00%,0.25%
30-Jun-99,14:00,5.00%,4.75%,0.25%
17-Nov-98,14:00,4.75%,5.00%,-0.25%
15-Oct-98,14:00,5.00%,5.25%,-0.25%
29-Sep-98,14:00,5.25%,5.50%,-0.25%
25-Mar-97,14:00,5.50%,5.25%,0.25%
31-Jan-96,14:00,5.25%,5.50%,-0.25%
19-Dec-95,14:00,5.50%,5.75%,-0.25%
6-Jul-95,14:00,5.75%,6.00%,-0.25%
1-Feb-95,14:00,6.00%,5.50%,0.50%
15-Nov-94,14:00,5.50%,4.75%,0.75%
16-Aug-94,14:00,4.75%,4.25%,0.50%
17-May-94,14:00,4.25%,3.75%,0.50%
18-Apr-94,14:00,3.75%,3.50%,0.25%
22-Mar-94,14:00,3.50%,3.25%,0.25%
4-Feb-94,14:00,3.25%,3.00%,0.25%
4-Sep-92,14:00,3.00%,3.25%,-0.25%
2-Jul-92,14:00,3.25%,3.75%,-0.50%
9-Apr-92,14:00,3.75%,4.00%,-0.25%
20-Dec-91,14:00,4.00%,4.50%,-0.50%
6-Dec-91,14:00,4.50%,4.75%,-0.25%
6-Nov-91,14:00,4.75%,5.00%,-0.25%
31-Oct-91,14:00,5.00%,5.25%,-0.25%
13-Sep-91,14:00,5.25%,5.50%,-0.25%
6-Aug-91,14:00,5.50%,5.75%,-0.25%
30-Apr-91,14:00,5.75%,6.00%,-0.25%
8-Mar-91,14:00,6.00%,6.25%,-0.25%
